PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI_Bucket
39.52,113.31,19.35,21.18,27.0,18.5,0.81,15.02,18.8,Moderate
43.08,116.06,5.34,19.02,14.54,22.46,0.79,22.7,25.64,Moderate
38.1,97.0,7.1,22.21,17.68,19.27,0.79,13.89,22.73,Satisfactory
33.08,83.16,5.37,18.83,14.38,14.52,0.72,8.98,23.63,Satisfactory
29.7,77.45,4.45,17.33,13.01,12.72,0.65,9.71,29.26,Satisfactory
38.67,82.67,4.45,22.81,15.74,12.41,0.66,12.63,22.9,Satisfactory
30.04,83.07,11.58,24.74,22.65,12.52,0.78,8.98,17.81,Satisfactory
39.72,103.81,19.66,26.29,30.06,14.03,0.81,9.68,17.53,Satisfactory
38.21,78.95,5.71,19.03,14.85,14.15,0.75,8.03,22.81,Satisfactory
58.31,124.64,11.93,28.85,25.14,14.0,1.03,10.21,22.24,Moderate
62.49,113.56,8.08,22.65,18.7,16.53,0.91,12.68,26.26,Moderate
49.04,102.46,5.75,19.92,15.26,14.09,0.64,6.82,26.52,Moderate
41.67,80.09,2.74,13.08,9.19,13.51,0.78,8.35,30.38,Satisfactory
32.44,75.3,6.01,19.07,15.02,12.65,0.68,7.75,21.52,Satisfactory
26.43,80.85,10.73,20.82,19.8,11.64,0.72,9.43,16.52,Satisfactory
25.08,60.67,7.17,15.22,13.94,14.1,0.56,8.63,13.8,Satisfactory
26.09,63.05,4.9,10.42,9.51,10.74,0.58,11.33,21.38,Satisfactory
16.62,39.94,4.9,8.18,8.43,11.53,0.58,6.37,12.68,Satisfactory
49.58,82.95,4.98,19.05,14.27,13.47,0.7,12.47,20.32,Satisfactory
43.52,80.01,6.41,20.43,16.16,13.75,0.8,10.57,23.36,Satisfactory
39.83,76.09,4.63,14.37,11.5,13.34,0.7,8.89,23.13,Satisfactory
36.89,76.61,6.62,18.83,15.39,13.96,0.57,7.04,13.58,Satisfactory
52.69,94.25,4.69,14.44,11.58,15.35,0.59,16.81,19.03,Satisfactory
46.48,95.41,4.35,14.79,11.5,15.02,0.6,15.55,21.04,Satisfactory
44.22,77.62,3.56,8.53,7.52,14.58,0.73,9.61,23.87,Satisfactory
35.91,71.26,2.94,6.99,6.19,13.53,0.67,3.69,27.58,Satisfactory
39.05,81.51,3.43,9.86,8.11,10.94,0.68,7.26,23.74,Satisfactory
30.21,67.22,5.11,11.29,10.25,11.24,0.58,13.19,20.89,Satisfactory
31.14,60.35,4.25,10.36,9.05,11.8,0.83,14.42,20.99,Satisfactory
26.82,52.51,3.63,7.68,7.14,11.54,0.69,13.63,23.6,Satisfactory
26.34,52.07,3.49,8.43,7.41,9.3,0.57,18.83,23.6,Satisfactory
28.48,55.8,3.06,6.86,6.23,10.49,0.64,12.97,24.19,Satisfactory
21.83,52.92,2.69,5.28,5.09,7.53,0.55,8.3,23.34,Satisfactory
24.23,52.06,4.32,14.33,11.23,8.17,0.56,9.95,23.86,Satisfactory
22.29,55.96,4.38,11.27,9.64,10.88,0.67,8.08,19.63,Satisfactory
